,LHS,RHS,support,confidence,coverage,lift,count
129,"{purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.3191489361702128,0.9375,0.3404255319148936,1.376953125,15
141,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Brand name}",{purchase_factors:Technological features},0.40425531914893614,0.9047619047619048,0.44680851063829785,1.3717357910906298,19
69,"{purchase_factors:Price,purchase_factors:Customisable options,purchase_factors:Technological features}",{purchase_factors:Aesthetics},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.3505747126436782,5
144,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.3505747126436782,5
197,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.3505747126436782,5
101,"{purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.1702127659574468,0.8888888888888888,0.19148936170212766,1.3476702508960574,8
124,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Technological features}",{purchase_factors:Brand name},0.3404255319148936,0.9411764705882353,0.3617021276595745,1.3404634581105168,16
137,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Aesthetics}",{purchase_factors:Brand name},0.3404255319148936,0.9411764705882353,0.3617021276595745,1.3404634581105168,16
40,"{purchase_factors:Size,purchase_factors:Technological features}",{purchase_factors:Brand name},0.3404255319148936,0.9411764705882353,0.3617021276595745,1.3404634581105168,16
37,"{purchase_factors:Size,purchase_factors:Aesthetics}",{purchase_factors:Brand name},0.3404255319148936,0.9411764705882353,0.3617021276595745,1.3404634581105168,16
130,"{purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.3191489361702128,0.8823529411764706,0.3617021276595745,1.3377609108159392,15
128,"{purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Brand name},0.3191489361702128,0.9375,0.3404255319148936,1.3352272727272727,15
209,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.2127659574468085,0.9090909090909091,0.23404255319148937,1.3352272727272727,10
108,"{purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.2127659574468085,0.9090909090909091,0.23404255319148937,1.3352272727272727,10
31,"{purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.2127659574468085,0.9090909090909091,0.23404255319148937,1.3352272727272727,10
191,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Brand name},0.3191489361702128,0.9375,0.3404255319148936,1.3352272727272727,15
177,"{purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.2127659574468085,0.9090909090909091,0.23404255319148937,1.3352272727272727,10
116,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Aesthetics}",{purchase_factors:Brand name},0.3191489361702128,0.9375,0.3404255319148936,1.3352272727272727,15
180,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.2127659574468085,0.9090909090909091,0.23404255319148937,1.3352272727272727,10
56,"{purchase_factors:Functionality,purchase_factors:Brand name}",{purchase_factors:Technological features},0.44680851063829785,0.875,0.5106382978723404,1.3266129032258065,21
175,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.14893617021276595,0.875,0.1702127659574468,1.3266129032258065,7
29,"{purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.19148936170212766,0.8181818181818182,0.23404255319148934,1.3260188087774296,9
117,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Technological features}",{purchase_factors:Brand name},0.2765957446808511,0.9285714285714286,0.2978723404255319,1.3225108225108226,13
187,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Technological features}",{purchase_factors:Brand name},0.2765957446808511,0.9285714285714286,0.2978723404255319,1.3225108225108226,13
103,"{purchase_factors:Price,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.19148936170212766,0.9,0.2127659574468085,1.3218750000000001,9
119,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name}",{purchase_factors:Technological features},0.2765957446808511,0.8666666666666667,0.3191489361702128,1.313978494623656,13
2,{purchase_factors:Customisable options},{purchase_factors:Functionality},0.1702127659574468,0.8888888888888888,0.19148936170212766,1.3055555555555556,8
91,"{purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2995391705069124,6
205,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2995391705069124,6
155,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2995391705069124,6
22,"{purchase_factors:Price,purchase_factors:Customisable options}",{purchase_factors:Technological features},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2995391705069124,6
166,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2995391705069124,6
81,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2995391705069124,6
163,"{purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2995391705069124,6
113,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name}",{purchase_factors:Aesthetics},0.2553191489361702,0.8,0.3191489361702127,1.2965517241379312,12
87,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.14893617021276595,0.875,0.1702127659574468,1.28515625,7
25,"{purchase_factors:Size,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.14893617021276595,0.875,0.1702127659574468,1.28515625,7
